created_doc_time,avail_qty,biddingzone_domain,businesstype,curvetype,docstatus,end,entsoe_mrid,nominal_power,plant_type,production_resource_id,production_resource_location,production_resource_name,production_resource_psr_name,pstn,qty_uom,resolution,revision,start,source,start_local,end_local,duration_days,reduction_mw,event_id,kind,unit_or_pair,unit_name,entsoe_source,duplicate_of,in_domain,out_domain,pair,kept,nominal_mw_proxy,season,hydro_plausible,matched_thread_ids,rejection_reason,accepted,revision_surprise,first_publication_lead_hours,n_versions
2025-11-10 14:22:31+00:00,0,SE_3,Unplanned outage,A03,,2025-10-14 10:00:00+00:00,a2Pq7s9eMOH_gJiQIZb_dg,565.0,Nuclear,46WPU0000000014Y,SE3,Ringhals 4,Ringhals block 4 G41,1,MAW,PT1M,2,2025-10-12 09:00:00+00:00,A80,2025-10-12 11:00:00+02:00,2025-10-14 12:00:00+02:00,2.0416666666666665,565.0,G048,generation,46WPU0000000014Y,Ringhals 4,A80,,,,,,,autumn,False,,overlap_below_50pct,False,False,,0
2025-12-18 19:56:42+00:00,0,SE_3,Unplanned outage,A03,,2025-12-18 03:59:00+00:00,3DzQM_p1C75jbK15DoHyjQ,1400.0,Nuclear,46WPU0000000061P,SE3,Oskarshamn 3,Oskarshamn G3,1,MAW,PT1M,8,2025-12-12 01:30:00+00:00,A80,2025-12-12 02:30:00+01:00,2025-12-18 04:59:00+01:00,6.103472222222222,1400.0,G049,generation,46WPU0000000061P,Oskarshamn 3,A80,,,,,,,winter,False,,okg_unit,False,False,,0
2026-01-06 00:35:59+00:00,0,SE_3,Unplanned outage,A03,,2025-12-24 09:30:00+00:00,hROCq3ZjqvUQeM7PJhFbvg,1040.0,Nuclear,46WPU0000000015W,SE3,Forsmark block 1,,1,MAW,PT1M,6,2025-12-22 19:28:00+00:00,A77,2025-12-22 20:28:00+01:00,2025-12-24 10:30:00+01:00,1.5847222222222221,1040.0,G050,generation,46WPU0000000015W,Forsmark block 1,A77,,,,,,,winter,False,d102a701-cb6e-4f57-a1fa-6a98c04c6799,,True,True,-1.8611649005555555,6
2026-02-23 10:29:11+00:00,0,SE_3,Unplanned outage,A03,,2026-03-28 18:00:00+00:00,yqXs65qY2CHSKj38PFAqNw,1400.0,Nuclear,46WPU0000000061P,SE3,Oskarshamn 3,Oskarshamn G3,1,MAW,PT1M,1,2026-02-23 15:00:00+00:00,A80,2026-02-23 16:00:00+01:00,2026-03-28 19:00:00+01:00,33.125,1400.0,G051,generation,46WPU0000000061P,Oskarshamn 3,A80,,,,,,,winter,False,,okg_unit,False,False,,0
2026-04-04 17:52:08+00:00,0,SE_3,Planned maintenance,A03,,2026-04-05 10:00:00+00:00,XWLi8F4VryGcU4GNXgd87A,1172.0,Nuclear,46WPU0000000017S,SE3,Forsmark block 3,,1,MAW,PT1M,7,2026-03-07 23:00:00+00:00,A77,2026-03-08 00:00:00+01:00,2026-04-05 12:00:00+02:00,28.458333333333332,1172.0,G052,generation,46WPU0000000017S,Forsmark block 3,A77,,,,,,,spring,False,4ab0dc65-0d37-440f-b103-905f1930a210,,True,True,28522.879638411945,7
2026-03-30 00:45:03+00:00,0,SE_3,Planned maintenance,A03,,2026-03-30 03:00:00+00:00,NfiIHIy9RJ0rIvqolM1ncw,569.0,Nuclear,46WPU0000000014Y,SE3,Ringhals 4,Ringhals block 4 G42,1,MAW,PT1M,4,2026-03-27 20:00:00+00:00,A80,2026-03-27 21:00:00+01:00,2026-03-30 05:00:00+02:00,2.2916666666666665,569.0,G053,generation,46WPU0000000014Y,Ringhals 4,A80,,,,,,,spring,False,,overlap_below_50pct,False,False,,0
2026-04-07 14:18:49+00:00,0,SE_3,Unplanned outage,A03,,2026-04-07 15:30:00+00:00,iltFsRz7VyKvngieqsHoMA,1172.0,Nuclear,46WPU0000000017S,SE3,Forsmark block 3,,1,MAW,PT1M,5,2026-04-06 13:15:00+00:00,A77,2026-04-06 15:15:00+02:00,2026-04-07 17:30:00+02:00,1.09375,1172.0,G054,generation,46WPU0000000017S,Forsmark block 3,A77,,,,,,,spring,True,c4067323-4803-4262-9241-49253cee551a,,True,True,2.3131710402777776,5
2026-04-08 13:50:57+00:00,160,SE_3,Unplanned outage,A03,,2026-04-09 01:00:00+00:00,QLjlC3yoe8R8_XJkjf5_yw,1172.0,Nuclear,46WPU0000000017S,SE3,Forsmark block 3,,1,MAW,PT1M,2,2026-04-07 16:35:00+00:00,A77,2026-04-07 18:35:00+02:00,2026-04-09 03:00:00+02:00,1.3506944444444444,1012.0,G055,generation,46WPU0000000017S,Forsmark block 3,A77,,,,,,,spring,True,4fb67806-df89-41f6-ae34-ed44c1c8faa5,,True,False,0.0022886430555555557,2
2026-04-10 20:12:55+00:00,0,SE_3,Unplanned outage,A03,,2026-04-10 23:30:00+00:00,wHHRr5sIPZS8caKe-o9jRg,1172.0,Nuclear,46WPU0000000017S,SE3,Forsmark block 3,,1,MAW,PT1M,6,2026-04-09 01:00:00+00:00,A77,2026-04-09 03:00:00+02:00,2026-04-11 01:30:00+02:00,1.9375,1172.0,G056,generation,46WPU0000000017S,Forsmark block 3,A77,,,,,,,spring,True,4415ea6d-4f7c-44c0-9ef0-67248981b2eb,,True,True,10.949660519166667,6
2026-04-15 15:12:24+00:00,480,SE_3,Unplanned outage,A03,,2026-04-15 19:00:00+00:00,o_PasfN24xPyVZChe5GRmQ,1100.0,Nuclear,46WPU0000000015W,SE3,Forsmark block 1,,1236,MAW,PT1M,6,2026-04-13 21:59:00+00:00,A77,2026-04-13 23:59:00+02:00,2026-04-15 21:00:00+02:00,1.8756944444444446,620.0,G057,generation,46WPU0000000015W,Forsmark block 1,A77,,,,,,,spring,True,cb242e0a-6719-401a-b07c-864e822fb90e,,True,True,20.196243133333333,6
