event_id,mae_context,mae_no_context,mae_oracle,context_minus_no_context_mae,oracle_minus_no_context_mae
G090,20.926307901374265,20.970717134713897,21.123844133644113,-0.04440923333963198,0.1531269989302153
T069,19.675434982214057,19.715942411880512,19.731470834827935,-0.04050742966645515,0.015528422947422627
G079,21.12082976433107,21.157832728655535,21.06801291484264,-0.037002964324464926,-0.08981981381289472
G085,9.59058350483621,9.558634202352012,9.686386048717663,0.03194930248419858,0.1277518463656513
G053,12.924634278135118,12.864690641498807,13.708340129075165,0.059943636636310416,0.8436494875763572
G097,23.645610608963924,23.55113014406485,23.14497899604694,0.09448046489907469,-0.4061511480179085
G074,13.870084363738377,13.732641977703482,13.9734317355023,0.13744238603489478,0.24078975779881873
T064,15.159888372887142,14.768089946889742,15.02508382323178,0.39179842599740056,0.2569938763420385
G055,33.89704110441745,33.4325755638727,33.21840614456042,0.46446554054474376,-0.2141694193122845
G060,19.114763921898117,18.638815090023748,19.01927433148179,0.4759488318743692,0.3804592414580412
T065,13.297433020044975,12.291511983377458,12.519836455646203,1.0059210366675178,0.22832447226874564
T060,34.784174962296305,33.4325755638727,33.485353661085114,1.3515993984236019,0.05277809721241056
