event_id,day,driver,n_hours,baseline_mae,llm_context_mae,oracle_mae,random_mean_mae,llm_minus_baseline_mae,oracle_minus_baseline_mae,random_mean_minus_baseline_mae,random_single_path_mae_mean,random_single_path_mae_p05,random_single_path_mae_p50,random_single_path_mae_p95,p_random_single_beats_llm,max_abs_llm_forecast_shift,max_abs_oracle_forecast_shift,random_declared_mw,random_width_hours
T060,2023-11-30,unavail_tx_import_mw,24,33.42017696395549,31.355958012904143,34.67553909069634,26.507334688822713,-2.0642189510513482,1.2553621267408488,-6.912842275132778,26.507334688822702,26.507334688822706,26.507334688822706,26.507334688822706,1.0,6.951554793139763,3.839934055289234,1200.0,24
G055,2023-11-30,avail_gen_mw,24,33.42017696395549,31.60024594286484,33.42017696395549,30.525223225980664,-1.8199310210906496,0.0,-2.894953737974827,30.525223225980707,30.5252232259807,30.5252232259807,30.5252232259807,1.0,6.462073664001323,1.4210854715202004e-14,1134.0,24
T069,2025-03-11,unavail_tx_import_mw,24,41.363958165352024,40.44289221541998,41.84043523193087,40.56955524854053,-0.9210659499320428,0.4764770665788447,-0.7944029168114923,40.56955524854061,40.56955524854061,40.56955524854061,40.56955524854061,0.0,3.4667356937780767,1.7624681653433356,1000.0,24
T069,2025-03-12,unavail_tx_import_mw,24,19.342522044648856,18.765562770534373,19.342522044648856,18.380923254458057,-0.5769592741144827,0.0,-0.9615987901907985,18.380923254458054,18.38092325445805,18.38092325445805,18.38092325445805,1.0,2.9215258607662804,1.4210854715202004e-14,1000.0,24
T064,2024-05-15,unavail_tx_import_mw,24,12.103858200526572,11.534805650726327,12.846687127079326,10.729906056680107,-0.5690525498002454,0.7428289265527539,-1.3739521438464646,10.729906056680111,10.72990605668011,10.72990605668011,10.72990605668011,1.0,1.8193538220037606,2.6484099213907157,1000.0,24
T069,2025-03-20,unavail_tx_import_mw,24,38.407317211856466,37.921795893152584,38.76724806854674,37.80041556347664,-0.4855213187038814,0.35993085669027636,-0.6069016483798251,37.80041556347662,37.80041556347661,37.80041556347661,37.80041556347661,1.0,2.697300270233683,1.980379173616683,1000.0,24
T069,2025-03-10,unavail_tx_import_mw,24,30.780653262410613,30.320980484089233,30.629290775266583,30.206062289508907,-0.4596727783213801,-0.15136248714403067,-0.5745909729017065,30.206062289508893,30.206062289508882,30.206062289508882,30.206062289508882,1.0,2.403666787624502,0.6750715778566558,1000.0,24
T069,2025-03-13,unavail_tx_import_mw,24,15.745580398226025,15.305829660913654,15.67620114340153,14.994614061924766,-0.43975073731237124,-0.06937925482449536,-0.7509663363012589,14.994614061924826,14.994614061924823,14.994614061924823,14.994614061924823,1.0,3.5917768533416563,1.7462214752227823,1000.0,24
T069,2025-03-29,unavail_tx_import_mw,24,14.135216392670067,13.743232090428782,14.293455805717898,13.645236014868464,-0.3919843022412852,0.15823941304783062,-0.48998037780160253,13.64523601486846,13.64523601486846,13.64523601486846,13.64523601486846,1.0,2.169362347597053,0.8915919032971189,1000.0,24
T069,2025-03-14,unavail_tx_import_mw,24,31.61612117612152,31.25125843292822,31.94127603979008,31.008006496886612,-0.36486274319329937,0.3251548636685584,-0.6081146792349088,31.008006496886647,31.008006496886647,31.008006496886647,31.008006496886647,1.0,1.7479205650223406,1.5430218899174832,1000.0,24
T069,2025-03-26,unavail_tx_import_mw,24,28.750675933926715,28.395899443461047,28.750675933926715,28.383898417157848,-0.3547764904656674,0.0,-0.3667775167688667,28.383898417157823,28.383898417157827,28.383898417157827,28.383898417157827,1.0,2.2511613186357664,7.105427357601002e-15,1000.0,24
G079,2025-05-14,avail_gen_mw,24,27.599152471154298,27.248473320888476,27.671978378388218,27.255385341589697,-0.3506791502658224,0.0728259072339199,-0.34376712956460054,27.255385341589655,27.255385341589648,27.255385341589648,27.255385341589648,0.0,1.3143321529186522,0.8968036588982216,1040.0,24
G060,2024-03-16,avail_gen_mw,24,17.237011236182557,16.8953575485865,16.80833479088284,14.820698348109659,-0.3416536875960574,-0.42867644529971827,-2.4163128880728983,14.82069834810966,14.820698348109664,14.820698348109664,14.820698348109664,1.0,4.268069426362175,5.355618714685654,1172.0,24
