created_doc_time,avail_qty,biddingzone_domain,businesstype,curvetype,docstatus,end,mrid,nominal_power,plant_type,production_resource_id,production_resource_location,production_resource_name,production_resource_psr_name,pstn,qty_uom,resolution,revision,start,source
2025-10-07 03:59:45+00:00,0,SE_3,Unplanned outage,A03,,2023-12-07 08:45:00+01:00,ASAdGGzSTn6eY1OqDDm4rQ,100.0,Hydro Water Reservoir,46WPU0000000018Q,SE3,Trängslet,Trängslet G2,1,MAW,PT1M,4,2023-12-01 14:35:00+01:00,A80
2025-10-07 04:01:45+00:00,0,SE_3,Unplanned outage,A03,,2023-12-08 06:00:00+01:00,BwUqRMB0O68BrPlZVDFTcA,565.0,Nuclear,46WPU0000000014Y,SE3,Ringhals 4,Ringhals block 4 G41,1,MAW,PT1M,2,2023-12-06 17:00:00+01:00,A80
2025-10-07 04:02:43+00:00,400,SE_3,Unplanned outage,A03,,2023-12-08 13:00:00+01:00,J73DD1YXnP6znbWTjFsn6A,565.0,Nuclear,46WPU0000000014Y,SE3,Ringhals 4,Ringhals block 4 G41,1,MAW,PT1M,1,2023-12-08 11:00:00+01:00,A80
2025-10-07 04:02:50+00:00,715,SE_3,Planned maintenance,A03,,2024-02-10 15:00:00+01:00,pgDY1Qc1tdoCNqii0lwftA,1014.0,Nuclear,46WPU0000000015W,SE3,Forsmark block 1,,1,MAW,PT1M,1,2024-02-10 08:00:00+01:00,A77
2025-10-07 04:08:30+00:00,86,SE_3,Unplanned outage,A03,,2023-12-13 15:00:00+01:00,02pGOZDjghAxzwR7Zhu8Tg,260.0,Fossil Gas,46WPU0000000062N,SE3,Rya KVV ,,1,MAW,PT1M,2,2023-12-08 22:47:00+01:00,A77
2025-10-07 04:08:43+00:00,0,SE_3,Planned maintenance,A03,,2024-03-31 23:59:00+02:00,dN42Mh8EPWt-CPkQgrWaUA,190.0,Fossil Oil,46WPU0000000023X,SE3,Värtaverket,KVV1 Värtaverket,1,MAW,PT1M,2,2023-02-18 00:01:00+01:00,A80
2025-10-07 04:08:51+00:00,91,SE_3,Planned maintenance,A03,,2023-12-11 20:16:00+01:00,B7pZOKtvMerBG00uRBJmXg,260.0,Fossil Gas,46WPU0000000062N,SE3,Rya KVV ,,1,MAW,PT1M,2,2023-12-08 10:00:00+01:00,A77
2025-10-07 04:09:06+00:00,0,SE_3,Unplanned outage,A03,,2023-12-12 01:30:00+01:00,wO_7hopj6s__iqFy7l0hCA,120.0,Fossil Oil,46WPU0000000023X,SE3,Värtaverket,KVV8 Värtaverket,1,MAW,PT1M,2,2023-12-11 17:55:00+01:00,A80
2025-10-07 04:14:53+00:00,0,SE_3,Planned maintenance,A03,,2023-12-14 14:42:00+01:00,ROQWVYfZkIriBHaladNwyA,100.0,Hydro Water Reservoir,46WPU0000000018Q,SE3,Trängslet,Trängslet G2,1,MAW,PT1M,2,2023-12-14 09:00:00+01:00,A80
2025-10-07 04:20:53+00:00,0,SE_3,Planned maintenance,A03,Cancelled,2023-12-19 16:00:00+01:00,C3zyJHVq9Wm0YTkXQhPBaQ,130.0,Hydro Water Reservoir,46WPU0000000018Q,SE3,Trängslet,Trängslet G3,1,MAW,PT1M,2,2023-12-19 08:00:00+01:00,A80
